Date,Open,High,Low,Close,Adj Close,Volume
2023-07-03,113.0999984741211,114.01000213623047,112.83000183105469,113.25,103.3951644897461,242500
2023-07-05,113.97000122070312,113.97000122070312,112.05999755859375,112.68000030517578,102.874755859375,997900
2023-07-06,111.45999908447266,112.1500015258789,109.13999938964844,110.08000183105469,100.50102233886719,513500
2023-07-07,109.55999755859375,113.55000305175781,109.48999786376953,112.5999984741211,102.80171966552734,374900
2023-07-10,112.30999755859375,113.56999969482422,112.2300033569336,113.4000015258789,103.53209686279297,289900
2023-07-11,113.94000244140625,116.12000274658203,113.83999633789062,115.97000122070312,105.87847900390625,825600
2023-07-12,116.93000030517578,117.62999725341797,116.26000213623047,116.9000015258789,106.72754669189453,536100
2023-07-13,116.87000274658203,117.7300033569336,115.55999755859375,116.44000244140625,106.30756378173828,473000
2023-07-14,115.9000015258789,115.9000015258789,113.16000366210938,113.38999938964844,103.52296447753906,1897800
2023-07-17,113.01000213623047,113.83000183105469,112.68000030517578,113.38999938964844,103.52296447753906,1770800
2023-07-18,113.2300033569336,115.86000061035156,113.05999755859375,114.83999633789062,104.84678649902344,689400
2023-07-19,114.86000061035156,116.16999816894531,114.62999725341797,115.3499984741211,105.31241607666016,1335300
2023-07-20,116.33000183105469,116.88999938964844,115.69000244140625,116.63999938964844,106.49016571044922,500000
2023-07-21,117.05999755859375,117.61000061035156,116.5199966430664,117.56999969482422,107.33924102783203,396700
2023-07-24,118.0999984741211,120.30999755859375,118.0999984741211,119.45999908447266,109.06476593017578,517100
2023-07-25,119.1500015258789,120.76000213623047,118.70999908447266,120.16999816894531,109.71298217773438,483900
2023-07-26,119.05000305175781,120.5999984741211,118.93000030517578,120.1500015258789,109.69474029541016,686200
2023-07-27,120.81999969482422,121.2699966430664,118.98999786376953,119.29000091552734,108.9095687866211,1179400
2023-07-28,119.41000366210938,119.9800033569336,118.18000030517578,119.87000274658203,109.43909454345703,282500
