Date,Open,High,Low,Close,Adj Close,Volume
2023-07-03,108.8499984741211,108.95999908447266,108.12999725341797,108.72000122070312,107.78968811035156,290300
2023-07-05,108.18000030517578,109.11000061035156,108.02999877929688,108.37999725341797,107.45257568359375,618500
2023-07-06,107.29000091552734,107.86000061035156,106.66999816894531,107.80999755859375,106.88745880126953,906300
2023-07-07,107.61000061035156,108.69000244140625,107.30999755859375,107.37999725341797,106.46115112304688,527800
2023-07-10,107.12999725341797,107.61000061035156,106.44000244140625,107.5999984741211,106.67926025390625,518800
2023-07-11,107.9000015258789,108.16999816894531,106.94000244140625,108.02999877929688,107.1055908203125,558800
2023-07-12,109.26000213623047,109.87000274658203,108.58000183105469,109.41999816894531,108.48369598388672,563900
2023-07-13,110.25,111.5999984741211,110.12999725341797,111.38999938964844,110.43681335449219,1059900
2023-07-14,111.6500015258789,112.55999755859375,110.83000183105469,111.19000244140625,110.2385482788086,569000
2023-07-17,111.38999938964844,112.7699966430664,111.2300033569336,112.44000244140625,111.47785186767578,360500
2023-07-18,112.25,113.93000030517578,111.48999786376953,113.4800033569336,112.50895690917969,390300
2023-07-19,113.91000366210938,114.16999816894531,112.72000122070312,113.18000030517578,112.21150970458984,360800
2023-07-20,112.16999816894531,112.95999908447266,110.08000183105469,110.43000030517578,109.48503875732422,16454900
2023-07-21,111.19999694824219,111.69999694824219,110.12000274658203,110.30999755859375,109.36607360839844,2404200
2023-07-24,110.9000015258789,111.20999908447266,110.06999969482422,110.51000213623047,109.56436157226562,1159400
2023-07-25,110.83999633789062,112.12000274658203,110.83999633789062,111.62999725341797,110.67477416992188,712100
2023-07-26,111.31999969482422,111.7300033569336,110.4000015258789,111.16999816894531,110.21871185302734,897300
2023-07-27,113.05999755859375,113.54000091552734,110.63999938964844,111.08999633789062,110.1393814086914,650900
2023-07-28,112.33000183105469,113.54000091552734,112.23999786376953,113.26000213623047,112.29083251953125,494200
2023-07-31,113.4000015258789,113.75,113.05999755859375,113.66999816894531,112.69732666015625,447100
2023-08-01,113.08000183105469,113.79000091552734,112.63999938964844,113.58999633789062,112.61800384521484,587300
2023-08-02,112.37999725341797,112.37999725341797,109.8499984741211,110.44000244140625,109.49496459960938,684600
2023-08-03,109.5199966430664,110.62999725341797,109.44000244140625,109.94000244140625,108.9992446899414,637100
2023-08-04,109.94000244140625,110.5999984741211,108.61000061035156,108.7699966430664,107.83924102783203,589600
2023-08-07,109.23999786376953,109.58000183105469,108.5,109.41000366210938,108.47377014160156,474700
2023-08-08,108.41999816894531,108.5,107.16999816894531,108.33999633789062,107.41292572021484,392100
2023-08-09,108.41000366210938,108.45999908447266,106.4000015258789,106.73999786376953,105.82661437988281,441000
2023-08-10,107.66999816894531,108.66000366210938,106.36000061035156,106.88999938964844,105.97533416748047,514800
2023-08-11,106.01000213623047,106.70999908447266,105.66000366210938,106.06999969482422,105.16236114501953,794800
2023-08-14,105.79000091552734,107.79000091552734,105.61000061035156,107.77999877929688,106.85771179199219,696800
2023-08-15,107.5,107.83000183105469,106.45999908447266,106.69999694824219,105.78697204589844,459400
2023-08-16,106.54000091552734,106.94999694824219,105.56999969482422,105.56999969482422,104.66663360595703,735800
2023-08-17,105.95999908447266,106.12999725341797,104.30000305175781,104.45999908447266,103.56613159179688,594400
2023-08-18,103.30000305175781,104.91000366210938,103.16000366210938,104.5,103.60579681396484,489600
2023-08-21,105.06999969482422,106.66999816894531,104.94000244140625,106.44999694824219,105.53910827636719,458200
2023-08-22,107.30000305175781,107.41000366210938,106.1500015258789,106.33000183105469,105.42011260986328,1124700
